id,name,paystack,providus,paga,created_at,updated_at
1,Access Bank,044,000014,40090E2F-7446-4217-9345-7BBAB7043C4C,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
2,First Bank,011,000016,8E5C613B-CCBE-4B68-8340-5F9D5F22158B,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
3,Keystone Bank,082,000002,15BDF5E7-D9A1-41B8-817F-A4AF52F098E2,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
4,United Bank for Africa,033,000004,EC419A4E-E790-43CB-B34A-B33E3D5E0749,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
5,GT Bank,058,000013,3E94C4BC-6F9A-442F-8F1A-8214478D5D86,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
6,Zenith Bank,057,000015,6B8787D1-1EA9-49EC-9673-BDCA6354BF9D,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
7,Sterling Bank,232,000001,8C1F2465-9ED5-4C32-932A-85F9E3D5351E,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
8,First City Monument Bank,214,000003,757E1F82-C5C1-4883-B891-C888293F2F00,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
9,Standard Chartered Bank,068,000021,A0A4576B-2133-4367-B3FE-ECC26050C691,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
10,Ecobank Nigeria,050,000010,7CE8FA5C-ADB7-4A27-8663-123FF25B4DA4,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
11,Stanbic IBTC Bank,221,000012,320BC91A-CF55-4832-931D-689B90ADC543,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
12,Union Bank of Nigeria,032,000018,6C9D682C-086B-48C2-BE80-CFA5C64DE66F,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
13,Providus Bank,101,000023,824d4b53-2752-49bb-b84a-20b69bb897ef,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
14,Polaris Bank,076,000008,F5FFEA5E-14F9-43F8-BE63-5C25F424A808,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
15,Citibank,023,000009,79573511-0F76-42BE-9618-8D1C2CD394BD,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
16,Jaiz Bank,301,000006,FA08CCFB-CADA-4D4D-A316-A91A2DB6C973,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
17,Heritage Bank,030,000020,5D783815-4E6E-4D3C-9B4E-D1E518A148B2,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
18,Suntrust Bank,100,000022,2AA854ED-112F-40C3-AEBB-8BF7B256D681,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
19,Wema Bank,035,000017,612AA156-BFD9-4F75-9E78-990042E7D00E,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
20,Fidelity Bank Nigeria,070,000007,B448209E-A8AC-45D3-8379-CBE8111367AD,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
21,Paga,100002,100002,AAAAAAAA-AAAA-AAAA-AAAA-AAAAAAAAAAAA,2022-09-09T19:08:20.142000Z,2022-09-09T19:08:20.142000Z
